Date,Sales,Day_of_Week,Month,Quarter
2024-02-18,538,Sunday,February,Q1
2024-02-19,857,Monday,February,Q1
2024-02-20,1164,Tuesday,February,Q1
2024-02-21,1168,Wednesday,February,Q1
2024-02-22,1052,Thursday,February,Q1
2024-02-23,1106,Friday,February,Q1
2024-02-24,671,Saturday,February,Q1
2024-02-25,570,Sunday,February,Q1
2024-02-26,1243,Monday,February,Q1
2024-02-27,1425,Tuesday,February,Q1
2024-02-28,1636,Wednesday,February,Q1
2024-02-29,1615,Thursday,February,Q1
2024-03-01,896,Friday,March,Q1
2024-03-02,539,Saturday,March,Q1
2024-03-03,419,Sunday,March,Q1
2024-03-04,829,Monday,March,Q1
2024-03-05,1104,Tuesday,March,Q1
2024-03-06,1387,Wednesday,March,Q1
2024-03-07,1127,Thursday,March,Q1
2024-03-08,1153,Friday,March,Q1
2024-03-09,634,Saturday,March,Q1
2024-03-10,491,Sunday,March,Q1
2024-03-11,1087,Monday,March,Q1
2024-03-12,1312,Tuesday,March,Q1
2024-03-13,1221,Wednesday,March,Q1
2024-03-14,1316,Thursday,March,Q1
2024-03-15,776,Friday,March,Q1
2024-03-16,664,Saturday,March,Q1
2024-03-17,531,Sunday,March,Q1
2024-03-18,1021,Monday,March,Q1
2024-03-19,1151,Tuesday,March,Q1
2024-03-20,984,Wednesday,March,Q1
2024-03-21,1116,Thursday,March,Q1
2024-03-22,1092,Friday,March,Q1
2024-03-23,706,Saturday,March,Q1
2024-03-24,500,Sunday,March,Q1
2024-03-25,970,Monday,March,Q1
2024-03-26,1086,Tuesday,March,Q1
2024-03-27,1345,Wednesday,March,Q1
2024-03-28,1537,Thursday,March,Q1
2024-03-29,1301,Friday,March,Q1
2024-03-30,843,Saturday,March,Q1
2024-03-31,694,Sunday,March,Q1
2024-04-01,1229,Monday,April,Q2
2024-04-02,1129,Tuesday,April,Q2
2024-04-03,1265,Wednesday,April,Q2
2024-04-04,1168,Thursday,April,Q2
2024-04-05,958,Friday,April,Q2
2024-04-06,749,Saturday,April,Q2
2024-04-07,640,Sunday,April,Q2
2024-04-08,1249,Monday,April,Q2
2024-04-09,1321,Tuesday,April,Q2
2024-04-10,1251,Wednesday,April,Q2
2024-04-11,1297,Thursday,April,Q2
2024-04-12,1207,Friday,April,Q2
2024-04-13,671,Saturday,April,Q2
2024-04-14,616,Sunday,April,Q2
2024-04-15,1302,Monday,April,Q2
2024-04-16,1613,Tuesday,April,Q2
2024-04-17,1487,Wednesday,April,Q2
2024-04-18,1393,Thursday,April,Q2
2024-04-19,1244,Friday,April,Q2
2024-04-20,591,Saturday,April,Q2
2024-04-21,626,Sunday,April,Q2
2024-04-22,1263,Monday,April,Q2
2024-04-23,1695,Tuesday,April,Q2
2024-04-24,1437,Wednesday,April,Q2
2024-04-25,1402,Thursday,April,Q2
2024-04-26,1253,Friday,April,Q2
2024-04-27,842,Saturday,April,Q2
2024-04-28,911,Sunday,April,Q2
2024-04-29,1759,Monday,April,Q2
2024-04-30,1914,Tuesday,April,Q2
2024-05-01,1202,Wednesday,May,Q2
2024-05-02,1401,Thursday,May,Q2
2024-05-03,976,Friday,May,Q2
2024-05-04,701,Saturday,May,Q2
2024-05-05,692,Sunday,May,Q2
2024-05-06,1137,Monday,May,Q2
2024-05-07,1290,Tuesday,May,Q2
2024-05-08,1488,Wednesday,May,Q2
2024-05-09,1300,Thursday,May,Q2
2024-05-10,1068,Friday,May,Q2
2024-05-11,743,Saturday,May,Q2
2024-05-12,565,Sunday,May,Q2
2024-05-13,1326,Monday,May,Q2
2024-05-14,1245,Tuesday,May,Q2
2024-05-15,1707,Wednesday,May,Q2
2024-05-16,1265,Thursday,May,Q2
2024-05-17,1227,Friday,May,Q2
2024-05-18,800,Saturday,May,Q2
2024-05-19,556,Sunday,May,Q2
2024-05-20,1298,Monday,May,Q2
2024-05-21,1555,Tuesday,May,Q2
2024-05-22,1244,Wednesday,May,Q2
2024-05-23,1402,Thursday,May,Q2
2024-05-24,1304,Friday,May,Q2
2024-05-25,800,Saturday,May,Q2
2024-05-26,557,Sunday,May,Q2
2024-05-27,1104,Monday,May,Q2
2024-05-28,1886,Tuesday,May,Q2
2024-05-29,1989,Wednesday,May,Q2
2024-05-30,1839,Thursday,May,Q2
2024-05-31,1714,Friday,May,Q2
2024-06-01,624,Saturday,June,Q2
2024-06-02,587,Sunday,June,Q2
2024-06-03,1182,Monday,June,Q2
2024-06-04,1156,Tuesday,June,Q2
2024-06-05,1591,Wednesday,June,Q2
2024-06-06,1449,Thursday,June,Q2
2024-06-07,1126,Friday,June,Q2
2024-06-08,795,Saturday,June,Q2
2024-06-09,577,Sunday,June,Q2
2024-06-10,1380,Monday,June,Q2
2024-06-11,1547,Tuesday,June,Q2
2024-06-12,1371,Wednesday,June,Q2
2024-06-13,1521,Thursday,June,Q2
2024-06-14,1334,Friday,June,Q2
2024-06-15,809,Saturday,June,Q2
2024-06-16,763,Sunday,June,Q2
2024-06-17,1251,Monday,June,Q2
2024-06-18,1285,Tuesday,June,Q2
2024-06-19,1365,Wednesday,June,Q2
2024-06-20,1278,Thursday,June,Q2
2024-06-21,1275,Friday,June,Q2
2024-06-22,775,Saturday,June,Q2
2024-06-23,661,Sunday,June,Q2
2024-06-24,1393,Monday,June,Q2
2024-06-25,1396,Tuesday,June,Q2
2024-06-26,1720,Wednesday,June,Q2
2024-06-27,1766,Thursday,June,Q2
2024-06-28,2130,Friday,June,Q2
2024-06-29,1038,Saturday,June,Q2
2024-06-30,766,Sunday,June,Q2
2024-07-01,1036,Monday,July,Q3
2024-07-02,1319,Tuesday,July,Q3
2024-07-03,1325,Wednesday,July,Q3
2024-07-04,1349,Thursday,July,Q3
2024-07-05,1218,Friday,July,Q3
2024-07-06,748,Saturday,July,Q3
2024-07-07,592,Sunday,July,Q3
2024-07-08,1097,Monday,July,Q3
2024-07-09,1339,Tuesday,July,Q3
2024-07-10,1639,Wednesday,July,Q3
2024-07-11,1433,Thursday,July,Q3
2024-07-12,1134,Friday,July,Q3
2024-07-13,769,Saturday,July,Q3
2024-07-14,673,Sunday,July,Q3
2024-07-15,1182,Monday,July,Q3
2024-07-16,1427,Tuesday,July,Q3
2024-07-17,1523,Wednesday,July,Q3
2024-07-18,1246,Thursday,July,Q3
2024-07-19,1345,Friday,July,Q3
2024-07-20,800,Saturday,July,Q3
2024-07-21,720,Sunday,July,Q3
2024-07-22,1437,Monday,July,Q3
2024-07-23,1215,Tuesday,July,Q3
2024-07-24,1376,Wednesday,July,Q3
2024-07-25,1483,Thursday,July,Q3
2024-07-26,1369,Friday,July,Q3
2024-07-27,799,Saturday,July,Q3
2024-07-28,1173,Sunday,July,Q3
2024-07-29,1791,Monday,July,Q3
2024-07-30,2045,Tuesday,July,Q3
2024-07-31,2167,Wednesday,July,Q3
2024-08-01,1355,Thursday,August,Q3
2024-08-02,1138,Friday,August,Q3
2024-08-03,738,Saturday,August,Q3
2024-08-04,542,Sunday,August,Q3
2024-08-05,1148,Monday,August,Q3
2024-08-06,1348,Tuesday,August,Q3
2024-08-07,1538,Wednesday,August,Q3
2024-08-08,1746,Thursday,August,Q3
2024-08-09,1065,Friday,August,Q3
2024-08-10,816,Saturday,August,Q3
2024-08-11,549,Sunday,August,Q3
2024-08-12,1249,Monday,August,Q3
2024-08-13,1575,Tuesday,August,Q3
2024-08-14,1540,Wednesday,August,Q3
2024-08-15,1268,Thursday,August,Q3
2024-08-16,1219,Friday,August,Q3
2024-08-17,818,Saturday,August,Q3
2024-08-18,609,Sunday,August,Q3
2024-08-19,1342,Monday,August,Q3
2024-08-20,1430,Tuesday,August,Q3
2024-08-21,1434,Wednesday,August,Q3
2024-08-22,1731,Thursday,August,Q3
2024-08-23,1399,Friday,August,Q3
2024-08-24,612,Saturday,August,Q3
2024-08-25,671,Sunday,August,Q3
2024-08-26,1230,Monday,August,Q3
2024-08-27,1549,Tuesday,August,Q3
2024-08-28,1841,Wednesday,August,Q3
2024-08-29,1836,Thursday,August,Q3
2024-08-30,1802,Friday,August,Q3
2024-08-31,1088,Saturday,August,Q3
2024-09-01,523,Sunday,September,Q3
2024-09-02,1149,Monday,September,Q3
2024-09-03,1227,Tuesday,September,Q3
2024-09-04,1297,Wednesday,September,Q3
2024-09-05,1517,Thursday,September,Q3
2024-09-06,1376,Friday,September,Q3
2024-09-07,675,Saturday,September,Q3
2024-09-08,723,Sunday,September,Q3
2024-09-09,1605,Monday,September,Q3
2024-09-10,1583,Tuesday,September,Q3
2024-09-11,1311,Wednesday,September,Q3
2024-09-12,1367,Thursday,September,Q3
2024-09-13,1494,Friday,September,Q3
2024-09-14,719,Saturday,September,Q3
2024-09-15,693,Sunday,September,Q3
2024-09-16,1431,Monday,September,Q3
2024-09-17,1306,Tuesday,September,Q3
2024-09-18,1541,Wednesday,September,Q3
2024-09-19,973,Thursday,September,Q3
2024-09-20,1193,Friday,September,Q3
2024-09-21,756,Saturday,September,Q3
2024-09-22,582,Sunday,September,Q3
2024-09-23,1548,Monday,September,Q3
2024-09-24,1236,Tuesday,September,Q3
2024-09-25,1486,Wednesday,September,Q3
2024-09-26,1463,Thursday,September,Q3
2024-09-27,1983,Friday,September,Q3
2024-09-28,866,Saturday,September,Q3
2024-09-29,968,Sunday,September,Q3
2024-09-30,1737,Monday,September,Q3
2024-10-01,1467,Tuesday,October,Q4
2024-10-02,1834,Wednesday,October,Q4
2024-10-03,1661,Thursday,October,Q4
2024-10-04,1413,Friday,October,Q4
2024-10-05,884,Saturday,October,Q4
2024-10-06,804,Sunday,October,Q4
2024-10-07,1692,Monday,October,Q4
2024-10-08,1933,Tuesday,October,Q4
2024-10-09,2263,Wednesday,October,Q4
2024-10-10,1589,Thursday,October,Q4
2024-10-11,2032,Friday,October,Q4
2024-10-12,787,Saturday,October,Q4
2024-10-13,825,Sunday,October,Q4
2024-10-14,1776,Monday,October,Q4
2024-10-15,1868,Tuesday,October,Q4
2024-10-16,1836,Wednesday,October,Q4
2024-10-17,1781,Thursday,October,Q4
2024-10-18,1597,Friday,October,Q4
2024-10-19,922,Saturday,October,Q4
2024-10-20,912,Sunday,October,Q4
2024-10-21,1741,Monday,October,Q4
2024-10-22,1696,Tuesday,October,Q4
2024-10-23,2139,Wednesday,October,Q4
2024-10-24,1879,Thursday,October,Q4
2024-10-25,1821,Friday,October,Q4
2024-10-26,1044,Saturday,October,Q4
2024-10-27,773,Sunday,October,Q4
2024-10-28,2068,Monday,October,Q4
2024-10-29,2552,Tuesday,October,Q4
2024-10-30,2714,Wednesday,October,Q4
2024-10-31,2371,Thursday,October,Q4
2024-11-01,1537,Friday,November,Q4
2024-11-02,1000,Saturday,November,Q4
2024-11-03,715,Sunday,November,Q4
2024-11-04,1604,Monday,November,Q4
2024-11-05,1615,Tuesday,November,Q4
2024-11-06,1930,Wednesday,November,Q4
2024-11-07,2034,Thursday,November,Q4
2024-11-08,1832,Friday,November,Q4
2024-11-09,1068,Saturday,November,Q4
2024-11-10,957,Sunday,November,Q4
2024-11-11,1698,Monday,November,Q4
2024-11-12,1961,Tuesday,November,Q4
2024-11-13,1917,Wednesday,November,Q4
2024-11-14,1897,Thursday,November,Q4
2024-11-15,1675,Friday,November,Q4
2024-11-16,1000,Saturday,November,Q4
2024-11-17,899,Sunday,November,Q4
2024-11-18,1560,Monday,November,Q4
2024-11-19,2226,Tuesday,November,Q4
2024-11-20,1784,Wednesday,November,Q4
2024-11-21,1618,Thursday,November,Q4
2024-11-22,1898,Friday,November,Q4
2024-11-23,2678,Saturday,November,Q4
2024-11-24,2261,Sunday,November,Q4
2024-11-25,4525,Monday,November,Q4
2024-11-26,3686,Tuesday,November,Q4
2024-11-27,4705,Wednesday,November,Q4
2024-11-28,4838,Thursday,November,Q4
2024-11-29,2067,Friday,November,Q4
2024-11-30,1420,Saturday,November,Q4
2024-12-01,757,Sunday,December,Q4
2024-12-02,1410,Monday,December,Q4
2024-12-03,1612,Tuesday,December,Q4
2024-12-04,1868,Wednesday,December,Q4
2024-12-05,1572,Thursday,December,Q4
2024-12-06,1569,Friday,December,Q4
2024-12-07,1022,Saturday,December,Q4
2024-12-08,876,Sunday,December,Q4
2024-12-09,1625,Monday,December,Q4
2024-12-10,1767,Tuesday,December,Q4
2024-12-11,2044,Wednesday,December,Q4
2024-12-12,1587,Thursday,December,Q4
2024-12-13,1473,Friday,December,Q4
2024-12-14,928,Saturday,December,Q4
2024-12-15,1259,Sunday,December,Q4
2024-12-16,2654,Monday,December,Q4
2024-12-17,3201,Tuesday,December,Q4
2024-12-18,3262,Wednesday,December,Q4
2024-12-19,2746,Thursday,December,Q4
2024-12-20,2572,Friday,December,Q4
2024-12-21,1353,Saturday,December,Q4
2024-12-22,1287,Sunday,December,Q4
2024-12-23,2506,Monday,December,Q4
2024-12-24,2886,Tuesday,December,Q4
2024-12-25,1842,Wednesday,December,Q4
2024-12-26,1962,Thursday,December,Q4
2024-12-27,1987,Friday,December,Q4
2024-12-28,1293,Saturday,December,Q4
2024-12-29,1165,Sunday,December,Q4
2024-12-30,2396,Monday,December,Q4
2024-12-31,2332,Tuesday,December,Q4
